InitialInertiaState,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
0.01,0,10,627.194,93120.99,628.194,50,0,0,1049.861,404146.4,97.61247,89.3047,3.841,0.947,1000,
0.02,0,10,632.47,94399.63,633.47,50,0,0,1039.895,410104.6,93.96381,90.95355,3.733,1.082,1000,
0.03,0,10,627.732,93314.31,628.732,50,0,0,1042.075,404638.8,96.66525,91.54938,4.126,0.965,1000,
0.04,0,10,627.259,93168.69,628.259,50,0,0,1043.255,403911.7,95.97684,91.49012,3.528,0.913,1000,
0.05,0,10,627.794,93305.13,628.794,50,0,0,1043.641,404329.9,94.64151,92.19713,3.832,0.924,1000,
0.06,0,10,628.23,93223.64,629.23,50,0,0,1043.799,404831.3,94.39198,96.66622,3.73,0.905,1000,
0.07,0,10,632.614,94046.75,633.614,50,0,0,1040.708,411156.9,98.48821,90.61724,3.957,1.011,1000,
0.08,0,10,629.724,93899.3,630.724,50,0,0,1034.411,406481.3,93.15128,94.53853,4.627,0.932,1000,
0.09,0,10,628.878,93474.99,629.878,50,0,0,1040.09,405930.8,95.8837,93.21283,3.822,0.866,1000,
0.1,0,10,629.828,93779.89,630.828,50,0,0,1041.228,407266.1,96.59924,92.07766,4.481,0.983,1000,
0.11,0,10,615.92,92602.34,616.92,50,0,0,1028.707,389455.3,94.20113,89.79237,4.675,1.066,1000,
0.12,0,10,604.197,91723.82,605.197,50,0,0,1009.771,374595.9,91.32835,87.64049,3.33,1.113,1000,
0.13,0,10,598.778,91931.13,599.778,50,0,0,998.355,368071.2,91.35588,85.93595,3.644,1.043,1000,
0.14,0,10,594.45,92200.14,595.45,50,0,0,986.05,362677.1,90.13606,86.29113,3.721,1.111,1000,
0.15,0,10,582.674,91022.67,583.674,50,0,0,979.847,348825,90.32078,87.563,3.702,1.016,1000,
0.16,0,10,575.825,90843.41,576.825,50,0,0,962.56,340620.8,88.89088,87.38356,3.894,0.91,1000,
0.17,0,10,570.505,90822.22,571.505,50,0,0,949.855,334695,89.91752,86.04608,3.96,1.006,1000,
0.18,0,10,563.378,90389.63,564.378,50,0,0,941.94,326331.1,88.41037,80.89053,4.311,0.941,1000,
0.19,0,10,554.652,89557.09,555.652,50,0,0,919.855,315658.4,83.16371,78.55604,3.593,0.911,1000,
0.2,0,10,547.724,89105.87,548.724,50,0,0,914.536,307692.5,81.24686,81.32793,3.747,0.942,1000,
0.21,0,10,541.153,88632.48,542.153,50,0,0,901.709,300924.3,83.67445,77.8891,3.967,0.972,1000,
0.22,0,10,533.353,87964.69,534.353,50,0,0,892.555,292169.3,81.50314,76.01538,3.903,0.965,1000,
0.23,0,10,529.979,88356.62,530.979,50,0,0,877.762,288572.2,81.48721,77.09918,4.155,1.038,1000,
0.24,0,10,523.47,88062.15,524.47,50,0,0,869.763,281794.1,82.04895,76.27323,3.792,1.024,1000,
0.25,0,10,518.624,87462.29,519.624,50,0,0,858.982,276660.9,81.59954,77.14341,4.198,0.943,1000,
0.26,0,10,508.806,86396.23,509.806,50,0,0,852.474,265869.9,77.29015,74.16515,4.142,0.877,1000,
0.27,0,10,505.109,86256,506.109,50,0,0,836.796,262567.2,80.17039,73.10049,4.587,1.1,1000,
0.28,0,10,502.302,86456.7,503.302,50,0,0,834.15,259323.6,77.56769,75.32877,3.979,0.957,1000,
0.29,0,10,494.41,85732.38,495.41,50,0,0,817.071,251628.8,78.76487,72.48025,4.057,0.957,1000,
0.3,0,10,492.073,85772.79,493.073,50,0,0,810.85,248944.3,76.34876,71.46932,4.21,1.003,1000,
0.31,0,10,485.691,85046.03,486.691,50,0,0,797.497,242822.8,77.20522,74.31801,4.2,0.947,1000,
