InitialInertiaState,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
0.32,0,10,478.739,84452.56,479.739,50,0,0,785.535,235447.6,72.82452,68.07771,3.995,1.07,1000,
0.33,0,10,476.556,84462.26,477.556,50,0,0,774.56,233343.3,72.7246,66.44769,3.8,0.836,1000,
0.34,0,10,471.408,84188.16,472.408,50,0,0,767.416,228751.7,74.75281,66.10127,3.905,0.958,1000,
0.35,0,10,469.938,84715.58,470.938,50,0,0,753.986,227702,76.97614,68.01183,3.114,1.013,1000,
0.36,0,10,458.469,82784.15,459.469,50,0,0,752.937,216355.3,72.44815,67.81036,3.75,1.086,1000,
0.37,0,10,457.178,83093.76,458.178,50,0,0,738.363,215523.8,74.84872,66.65895,4.227,1.017,1000,
0.38,0,10,453.526,82750.73,454.526,50,0,0,727.23,211529.6,70.29014,67.87775,4.244,0.835,1000,
0.39,0,10,446.303,81893.16,447.303,50,0,0,721.551,205441.9,73.26196,64.97984,4.64,1.053,1000,
0.4,0,10,444.176,82100.19,445.176,50,0,0,703.622,203317.3,71.69936,66.38422,3.539,0.797,1000,
0.41,0,10,438.46,81351.48,439.46,50,0,0,700.86,197980,69.71204,63.91218,4.232,0.932,1000,
0.42,0,10,436.554,81474.18,437.554,50,0,0,691.352,196547.6,71.40843,61.20345,4.352,0.959,1000,
0.43,0,10,428.775,80461.4,429.775,50,0,0,676.571,189368.9,68.31531,63.6806,4.089,1.024,1000,
0.44,0,10,423.61,79776.52,424.61,50,0,0,674.207,185286.2,70.69304,61.24247,3.811,0.871,1000,
0.45,0,10,420.221,79538.83,421.221,50,0,0,661.815,181774.6,65.96803,59.57574,3.785,0.999,1000,
0.46,0,10,419.962,80000.58,420.962,50,0,0,654.691,181225.1,63.40466,61.72008,4.301,1.085,1000,
0.47,0,10,412.335,78876.82,413.335,50,0,0,644.172,175099.3,65.25105,59.83854,4.162,1.016,1000,
0.48,0,10,405.799,78057.63,406.799,50,0,0,633.645,169633.9,64.44053,60.15686,3.776,1.137,1000,
0.49,0,10,402.964,77750.79,403.964,50,0,0,626.882,167280.2,64.01112,60.35369,4.088,0.952,1000,
0.5,0,10,400.512,77743.21,401.512,50,0,0,617.984,165492.1,65.4558,60.61108,4.043,0.924,1000,
0.51,0,10,393.226,76593.35,394.226,50,0,0,607.602,159577.4,64.55544,55.73636,3.702,0.994,1000,
0.52,0,10,387.695,75856.45,388.695,50,0,0,596.24,155060.3,63.09068,56.26978,4.34,0.928,1000,
0.53,0,10,385.266,75767.33,386.266,50,0,0,592.548,153700.8,67.11096,55.78854,3.556,1.097,1000,
0.54,0,10,377.354,74401.48,378.354,50,0,0,581.053,147042,62.40321,55.39362,4.039,0.845,1000,
0.55,0,10,374.094,74244.98,375.094,50,0,0,572.746,144671.3,63.08514,53.00231,4.553,0.976,1000,
0.56,0,10,367.629,73164.39,368.629,50,0,0,564.678,139427.3,59.52757,52.62108,4.55,0.828,1000,
0.57,0,10,367.377,73577.31,368.377,50,0,0,553.156,139689.8,63.18388,53.79694,3.659,1.027,1000,
0.58,0,10,362.206,72845.14,363.206,50,0,0,542.687,135567.5,60.43679,55.76922,3.672,0.926,1000,
0.59,0,10,360.355,72816.71,361.355,50,0,0,536.3,134252.4,60.65155,51.21624,3.537,1.024,1000,
0.6,0,10,353.429,71674.77,354.429,50,0,0,530.851,129096.8,58.99461,51.75728,2.906,1.048,1000,
0.61,0,10,347.183,70652.27,348.183,50,0,0,521.508,124722.5,59.11512,51.14501,4.429,1.008,1000,
0.62,0,10,344.488,70434.45,345.488,50,0,0,508.044,122909.8,59.5937,50.16775,3.804,0.886,1000,
0.63,0,10,339.906,69840.62,340.906,50,0,0,501.841,119319.4,55.72774,49.55733,3.587,1.032,1000,
0.64,0,10,335.341,69136.45,336.341,50,0,0,495.897,115998.5,53.62924,49.45062,3.893,0.966,1000,
0.65,0,10,335.877,69631.7,336.877,50,0,0,484.362,116949.4,58.87955,47.35801,4.616,0.932,1000,
0.66,0,10,326.191,67806.27,327.191,50,0,0,473.984,110118.5,55.38604,46.48287,3.698,1.139,1000,
0.67,0,10,320.929,66952.94,321.929,50,0,0,464.422,106564.8,54.12393,46.02613,4.223,1.072,1000,
0.68,0,10,317.946,66662.91,318.946,50,0,0,455.924,104645.6,54.05563,46.83953,4.029,0.97,1000,
0.69,0,10,312.58,65801.65,313.58,50,0,0,446.508,101117.4,52.79965,46.04157,3.953,0.932,1000,
0.7,0,10,308.929,65233.17,309.929,50,0,0,438.506,98622.09,50.68214,44.24921,3.837,0.871,1000,
0.71,0,10,306.217,65013.38,307.217,50,0,0,427.022,97004.97,51.23776,42.99599,4.299,0.931,1000,
0.72,0,10,301.149,64190.59,302.149,50,0,0,418.826,94012.08,52.16112,46.41812,3.931,0.897,1000,
0.73,0,10,296.333,63375.36,297.333,50,0,0,411.724,90897.99,49.93568,43.67488,4.331,0.942,1000,
0.74,0,10,292.517,62863.81,293.517,50,0,0,399.547,88464.07,48.10568,40.53889,3.936,0.859,1000,
0.75,0,10,289.862,62563.29,290.862,50,0,0,390.963,86925.82,48.24364,41.67875,3.468,1.003,1000,
0.76,0,10,285.891,61945.07,286.891,50,0,0,382.932,84773.23,49.6916,40.36507,4.04,0.801,1000,
0.77,0,10,280.999,61098.03,281.999,50,0,0,374.504,81813.35,47.87701,39.91721,3.695,1.197,1000,
0.78,0,10,276.778,60408.87,277.778,50,0,0,363.945,79287.65,46.14282,40.27565,3.842,0.778,1000,
0.79,0,10,272.401,59684.57,273.401,50,0,0,355.997,76879.73,46.19267,38.81685,3.685,1.075,1000,
0.8,0,10,268.615,59102.19,269.615,50,0,0,345.198,74713.23,44.97785,38.34247,3.381,1.057,1000,
0.81,0,10,264.734,58455.81,265.734,50,0,0,332.312,72673.32,45.39628,37.71156,4.196,0.937,1000,
0.82,0,10,260.701,57783.56,261.701,50,0,0,324.376,70324.06,42.87761,37.44498,4.307,0.855,1000,
0.83,0,10,255.818,56936.6,256.818,50,0,0,313.494,67784.08,42.78347,37.81414,3.959,0.976,1000,
0.84,0,10,254.089,56838.32,255.089,50,0,0,302.397,66846.48,42.16477,36.36201,4.105,1.088,1000,
0.85,0,10,249.808,56056.86,250.808,50,0,0,293.094,64581.19,40.966,35.94651,4.183,1.012,1000,
0.86,0,10,244.863,55172.28,245.863,50,0,0,280.457,61970.47,39.03051,36.17487,3.459,1.049,1000,
0.87,0,10,241.176,54577.73,242.176,50,0,0,270.862,60250.11,40.03119,34.30869,3.672,0.93,1000,
0.88,0,10,237.869,54085.61,238.869,50,0,0,258.171,58602.28,39.31191,34.68909,4.599,0.809,1000,
0.89,0,10,235.884,53858.32,236.884,50,0,0,248.649,57642.97,39.12121,32.31407,3.684,1.028,1000,
0.9,0,10,230.402,52848.39,231.402,50,0,0,235.945,54953.75,37.52693,32.85162,4.142,0.901,1000,
0.91,0,10,226.153,52127.96,227.153,50,0,0,222.383,52870.15,35.67828,31.72498,4.593,1.038,1000,
0.92,0,10,223.263,51704.17,224.263,50,0,0,210.846,51610.31,36.30064,31.72081,4.022,0.83,1000,
0.93,0,10,217.589,50632.66,218.589,50,0,0,195.898,48938.93,34.04315,31.36756,3.909,0.925,1000,
0.94,0,10,215.243,50366.94,216.243,50,0,0,182.228,47990.1,35.07551,31.42118,4.818,1.081,1000,
0.95,0,10,212.418,50023.78,213.418,50,0,0,165.972,46885.43,36.59958,30.90586,4.372,0.792,1000,
0.96,0,10,205.697,48697.99,206.697,50,0,0,150.755,43757.46,32.16901,28.44423,3.717,0.955,1000,
0.97,0,10,199.833,47636.05,200.833,50,0,0,133.243,41349.77,31.88867,29.38353,3.379,0.876,1000,
0.98,0,10,191.839,46075.82,192.839,50,0,0,113.267,38020.2,28.8818,27.60024,3.911,1.035,1000,
0.99,0,10,184.364,44711.17,185.364,50,0,0,91.622,35141.16,27.96658,25.96359,4.652,1.009,1000,
