InitialInertiaState,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
0.9966,0,10,172.642,42248.44,173.642,50,0,0,72.25,30817.27,25.8145,23.99527,4.221,1.098,1000,
0.9967,0,10,171.714,42027.73,172.714,50,0,0,71.765,30504.75,25.98656,24.51771,3.744,0.99,1000,
0.9968,0,10,173.817,42559.32,174.817,50,0,0,71.507,31275.33,26.74056,24.25667,3.917,0.767,1000,
0.9969,0,10,173.504,42493.56,174.504,50,0,0,70.793,31179.74,26.99668,24.38255,3.962,1.029,1000,
0.997,0,10,170.681,41797.22,171.681,50,0,0,70.533,30101.23,25.04974,22.83766,4.071,0.903,1000,
0.9971,0,10,172.672,42301.77,173.672,50,0,0,70.318,30804.68,25.36462,24.19061,4.022,0.995,1000,
0.9972,0,10,171.067,41911.39,172.067,50,0,0,69.626,30317.54,26.66835,24.00575,3.761,0.933,1000,
0.9973,0,10,170.362,41745.2,171.362,50,0,0,69.107,30069.89,26.56431,24.17699,3.956,1.091,1000,
0.9974,0,10,169.243,41476.96,170.243,50,0,0,68.803,29612.93,25.11732,25.06565,4.387,1.058,1000,
0.9975,0,10,169.717,41602.63,170.717,50,0,0,68.448,29816.34,25.93674,23.56512,4.158,0.888,1000,
0.9976,0,10,169.336,41522.3,170.336,50,0,0,67.843,29644.3,25.11135,24.36481,4.342,1.009,1000,
0.9977,0,10,169.583,41594.46,170.583,50,0,0,67.329,29794.32,26.39039,23.76815,3.74,1.021,1000,
0.9978,0,10,169.227,41511.84,170.227,50,0,0,67.153,29663.06,26.20135,23.57135,4.65,0.914,1000,
0.9979,0,10,168.317,41297.91,169.317,50,0,0,66.294,29358.26,26.28133,23.78301,3.939,1.068,1000,
0.998,0,10,167.215,41034.66,168.215,50,0,0,65.773,28966.5,25.90144,22.5645,3.8,0.956,1000,
0.9981,0,10,166.549,40879.34,167.549,50,0,0,65.337,28710.73,25.27246,23.08688,3.995,0.997,1000,
0.9982,0,10,167.176,41047.28,168.176,50,0,0,65.011,29028,27.30536,22.86083,3.573,0.93,1000,
0.9983,0,10,165.054,40529.99,166.054,50,0,0,64.276,28158.8,24.19625,23.03766,3.523,0.928,1000,
0.9984,0,10,165.932,40759.79,166.932,50,0,0,63.655,28594.31,26.99534,24.67665,3.657,0.844,1000,
0.9985,0,10,165.334,40621.54,166.334,50,0,0,63.193,28372.74,26.57907,23.6445,4.184,1.047,1000,
0.9986,0,10,164.031,40312.91,165.031,50,0,0,62.413,27891.94,25.63924,22.70811,3.38,0.797,1000,
0.9987,0,10,164.296,40389.53,165.296,50,0,0,61.657,28041.22,26.81741,22.55128,4.484,0.969,1000,
0.9988,0,10,163.872,40296.98,164.872,50,0,0,61.005,27953.85,27.78211,23.03192,4.637,1.06,1000,
0.9989,0,10,163.65,40255.07,164.65,50,0,0,60.19,27921.98,28.51615,21.93639,3.649,0.997,1000,
0.999,0,10,160.63,39518.32,161.63,50,0,0,59.66,26765.08,25.32707,22.35273,3.91,1.023,1000,
0.9991,0,10,160.671,39541.87,161.671,50,0,0,58.888,26832.8,26.38147,22.64233,3.678,1.203,1000,
0.9992,0,10,158.45,39005.12,159.45,50,0,0,57.832,26063.13,25.28761,21.26703,4.047,0.979,1000,
0.9993,0,10,158.279,38979.44,159.279,50,0,0,56.917,26022.47,25.56023,21.47123,4.357,0.917,1000,
0.9994,0,10,156.299,38503.53,157.299,50,0,0,55.896,25427.2,26.17081,21.91885,4.254,0.898,1000,
0.9995,0,10,154.84,38155.95,155.84,50,0,0,54.82,24967.39,26.11452,21.01049,3.911,0.918,1000,
0.9996,0,10,154.009,37970.51,155.009,50,0,0,53.68,24621.42,24.37663,21.59028,4.032,1.04,1000,
0.9997,0,10,152.787,37685.04,153.787,50,0,0,52.538,24233.61,24.16092,20.84433,3.875,1.008,1000,
0.9998,0,10,154.69,38179.84,155.69,50,0,0,51.536,24852.01,24.76383,21.02608,3.424,1.081,1000,
0.9999,0,10,164.829,40733.43,165.829,50,0,0,49.928,28176.6,26.03887,22.04733,4.515,1.041,1000,
