DiffusionThreshold,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
5.3,0,10,147.258,36272.45,148.258,50,0,0,43.139,22428.93,21.18826,20.31506,4.159,0.981,1000,
5.4,0,10,147.957,36445.88,148.957,50,0,0,42.764,22652.57,21.56026,21.03972,3.503,0.966,1000,
5.5,0,10,147.895,36430.95,148.895,50,0,0,42.69,22614.49,21.1,20.81086,3.622,1.069,1000,
5.6,0,10,148.293,36527.4,149.293,50,0,0,42.756,22784.45,22.28337,22.01048,3.886,1.003,1000,
5.7,0,10,147.899,36428.56,148.899,50,0,0,42.299,22663.32,22.20128,21.2697,3.778,0.98,1000,
5.8,0,10,147.473,36322.8,148.473,50,0,0,42.116,22468.64,20.61138,20.26696,4.061,1.191,1000,
5.9,0,10,148.117,36480.52,149.117,50,0,0,42.042,22726.93,22.1707,21.17847,3.471,0.904,1000,
6,0,10,148.673,36620.01,149.673,50,0,0,41.775,22932.79,23.0503,20.93356,4.183,1.064,1000,
6.1,0,10,147.664,36368.14,148.664,50,0,0,41.467,22579.11,21.87692,20.75454,3.542,1.006,1000,
6.2,0,10,148.241,36511.3,149.241,50,0,0,41.433,22802.23,23.01916,21.12089,3.594,0.942,1000,
6.3,0,10,147.817,36404.23,148.817,50,0,0,41.203,22582.77,20.89745,20.94966,3.234,1.011,1000,
6.4,0,10,148.345,36535.07,149.345,50,0,0,40.892,22761.96,21.41232,21.27745,4.153,0.953,1000,
6.5,0,10,148.321,36530.28,149.321,50,0,0,40.662,22806.99,22.59955,21.63074,3.975,0.976,1000,
6.6,0,10,148.931,36678.57,149.931,50,0,0,40.536,23002.25,22.87953,21.18187,3.619,0.986,1000,
6.7,0,10,149.139,36732.35,150.139,50,0,0,40.345,23133.41,24.33682,21.15749,4.162,1.021,1000,
6.8,0,10,148.82,36648.87,149.82,50,0,0,40.24,22934.57,22.1139,21.53658,4.094,0.792,1000,
6.9,0,10,149.62,36846.91,150.62,50,0,0,39.682,23232.4,23.37863,21.88754,3.157,0.956,1000,
7,0,10,148.994,36690.61,149.994,50,0,0,39.809,22982.37,22.01496,21.39195,3.964,0.912,1000,
7.1,0,10,149.184,36738.14,150.184,50,0,0,39.828,23051.37,22.28522,21.20252,3.37,0.954,1000,
7.2,0,10,149.701,36864.04,150.701,50,0,0,39.298,23250.67,23.24683,21.44829,4.542,0.882,1000,
7.3,0,10,148.144,36477.4,149.144,50,0,0,39.081,22693.33,21.20965,21.92226,4.043,1.022,1000,
7.4,0,10,149.914,36916.82,150.914,50,0,0,38.97,23366.19,24.32592,21.37981,4.478,0.928,1000,
7.5,0,10,149.247,36751.73,150.247,50,0,0,38.662,23026.05,21.26837,22.15521,4.239,0.972,1000,
7.6,0,10,149.416,36790.65,150.416,50,0,0,38.519,23130.76,22.50096,21.115,4.245,0.996,1000,
7.7,0,10,150.127,36966.45,151.127,50,0,0,38.354,23359.75,22.82325,21.08956,4.115,0.934,1000,
7.8,0,10,149.299,36761.61,150.299,50,0,0,38.143,23106.3,22.7382,21.18459,4.137,0.946,1000,
7.9,0,10,149.175,36730.18,150.175,50,0,0,37.806,23038.1,22.04676,21.69323,3.978,0.996,1000,
8,0,10,150.447,37045.52,151.447,50,0,0,37.685,23504.64,23.85412,21.36631,3.819,0.901,1000,
8.1,0,10,150.846,37145.15,151.846,50,0,0,37.719,23635.88,24.06773,22.23753,3.482,1.143,1000,
8.2,0,10,151.431,37289.52,152.431,50,0,0,37.53,23804.29,23.86738,22.16313,4.443,0.796,1000,
8.3,0,10,150.99,37178.99,151.99,50,0,0,37.345,23709.31,24.67705,22.30011,4.3,0.995,1000,
8.4,0,10,151.971,37422.67,152.971,50,0,0,37.212,23978.92,24.07024,22.52517,4.413,0.884,1000,
8.5,0,10,149.979,36925.24,150.979,50,0,0,36.775,23300.47,22.50155,21.69048,3.916,0.987,1000,
8.6,0,10,150.98,37174.37,151.98,50,0,0,36.745,23668.4,23.89667,21.64112,3.776,0.921,1000,
8.7,0,10,150.147,36966.45,151.147,50,0,0,36.4,23360.68,22.7107,22.14879,4.315,1.003,1000,
8.8,0,10,152.256,37488.89,153.256,50,0,0,36.264,24118.15,25.12731,22.4163,3.932,0.834,1000,
8.9,0,10,151.505,37302.87,152.505,50,0,0,35.85,23822.1,23.76733,22.13967,4.251,1.076,1000,
9,0,10,152.487,37545.04,153.487,50,0,0,35.881,24175.78,24.86248,21.86117,4.231,1.15,1000,
9.1,0,10,151.842,37386.54,152.842,50,0,0,35.563,23921.28,23.68882,22.69965,4.078,1.024,1000,
9.2,0,10,151.27,37241.41,152.27,50,0,0,35.522,23678.7,22.2046,22.16998,3.798,0.896,1000,
9.3,0,10,151.833,37381.21,152.833,50,0,0,35.336,23982.48,25.00359,22.31356,3.903,0.999,1000,
9.4,0,10,152.086,37441.05,153.086,50,0,0,35.098,24036.59,24.53297,23.61892,4.662,0.974,1000,
9.5,0,10,152.43,37528.11,153.43,50,0,0,34.848,24108.52,23.83953,23.00374,4.286,0.993,1000,
9.6,0,10,153.818,37872,154.818,50,0,0,34.814,24628.19,25.69504,22.96572,3.944,0.882,1000,
9.7,0,10,153.279,37737.74,154.279,50,0,0,34.436,24384.6,24.14894,23.13188,3.982,0.96,1000,
9.8,0,10,153.396,37766.4,154.396,50,0,0,34.399,24502.69,25.7921,22.46874,3.423,0.974,1000,
9.9,0,10,152.481,37536.96,153.481,50,0,0,34.33,24128.28,23.9257,22.5433,4.084,1.064,1000,
DiffusionThreshold,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
0.1,0,10,157.963,39049.18,158.963,50,0,0,82.842,25765.24,22.28226,20.74118,3.882,0.984,1000,
0.2,0,10,154.687,38230.21,155.687,50,0,0,80.643,24724.17,22.05022,19.82698,4.574,1.066,1000,
0.3,0,10,154.712,38230.89,155.712,50,0,0,78.098,24800.4,23.55262,20.01683,3.866,0.98,1000,
0.4,0,10,153.471,37916.21,154.471,50,0,0,75.811,24328.64,21.62919,20.20134,3.967,0.909,1000,
0.5,0,10,151.007,37297.92,152.007,50,0,0,73.428,23564.58,21.4222,19.70366,4.154,0.925,1000,
0.6,0,10,151.215,37344.04,152.215,50,0,0,71.152,23601.54,20.79813,19.59782,3.762,1.112,1000,
0.7,0,10,150.029,37044.83,151.029,50,0,0,68.633,23314.96,22.48797,19.96668,3.423,0.978,1000,
0.8,0,10,149.17,36823.79,150.17,50,0,0,66.226,22958,20.18352,19.48341,3.35,0.906,1000,
0.9,0,10,147.844,36488.45,148.844,50,0,0,63.755,22551.35,19.93005,19.61211,4.438,0.974,1000,
1,0,10,146.955,36261.02,147.955,50,0,0,60.958,22338.34,21.16842,19.30098,3.756,0.976,1000,
1.1,0,10,147.235,36325.71,148.235,50,0,0,60.349,22410.88,20.92129,19.72915,4.298,0.905,1000,
1.2,0,10,146.771,36207.88,147.771,50,0,0,59.664,22267.59,20.77867,20.02882,4.048,1.011,1000,
1.3,0,10,146.205,36065.14,147.205,50,0,0,58.899,22074.33,20.13508,19.59593,3.381,1.046,1000,
1.4,0,10,145.904,35986.68,146.904,50,0,0,58.084,21956.37,19.38976,20.10497,3.428,0.784,1000,
