InertiaMove,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Iter2,SD,Time,IterationNum,RobotID,Count,
0.68,0,10,146.61,36147.06,147.61,50,0,0,52.63,22253.15,21.56156,19.69126,4.385,0.956,1000,
0.69,0,10,147.451,36356.98,148.451,50,0,0,52.424,22544.35,22.52012,20.38566,4.243,1.16,1000,
0.7,0,10,147.069,36261.28,148.069,50,0,0,52.54,22362.28,20.93527,20.44467,3.633,0.987,1000,
0.71,0,10,147.411,36348.7,148.411,50,0,0,52.139,22507.06,21.94814,20.11914,3.765,0.988,1000,
0.72,0,10,146.758,36183.92,147.758,50,0,0,52.305,22304.75,21.74383,20.90851,4.81,1.003,1000,
0.73,0,10,148.145,36529.8,149.145,50,0,0,52.239,22714,21.68491,20.23031,3.684,0.825,1000,
0.74,0,10,146.901,36221.3,147.901,50,0,0,52.098,22336.98,21.51141,20.6849,3.63,0.959,1000,
0.75,0,10,147.858,36459.26,148.858,50,0,0,52.045,22632.5,21.77774,19.75012,4.317,1.015,1000,
0.76,0,10,147.519,36375.35,148.519,50,0,0,51.837,22514.07,21.36903,20.24399,3.825,0.915,1000,
0.77,0,10,147.776,36437.54,148.776,50,0,0,51.967,22606.03,21.73021,20.53502,4.607,0.951,1000,
0.78,0,10,148.631,36652.12,149.631,50,0,0,51.775,22803.51,20.35899,19.94358,4.06,0.964,1000,
0.79,0,10,148.948,36730.43,149.948,50,0,0,51.492,22942.75,21.41981,20.72285,3.326,0.871,1000,
0.8,0,10,148.285,36565.97,149.285,50,0,0,51.48,22747.13,21.48433,21.438,3.875,1.026,1000,
0.81,0,10,148.415,36598.5,149.415,50,0,0,51.361,22785.37,21.4706,20.61959,4.092,1.031,1000,
0.82,0,10,149.579,36888.73,150.579,50,0,0,51.544,23149.14,21.8078,20.62776,3.432,0.955,1000,
0.83,0,10,147.64,36405.68,148.64,50,0,0,51.334,22539.42,21.11901,20.91599,3.589,0.947,1000,
0.84,0,10,149.651,36906.17,150.651,50,0,0,51.248,23210.56,22.70127,21.1555,4.683,1.05,1000,
0.85,0,10,149.367,36836.4,150.367,50,0,0,51.031,23129.43,22.79735,20.33164,4.379,1.14,1000,
0.86,0,10,149.743,36931.31,150.743,50,0,0,50.944,23187.9,21.56184,20.62349,3.7,1.039,1000,
0.87,0,10,150.137,37027.7,151.137,50,0,0,50.945,23329.16,22.07384,20.65592,4.067,0.992,1000,
0.88,0,10,149.73,36927.16,150.73,50,0,0,50.807,23207.65,22.10447,20.69939,3.917,0.973,1000,
0.89,0,10,150.069,37011.06,151.069,50,0,0,50.792,23306.21,22.01931,21.59721,3.502,1.048,1000,
0.9,0,10,150.179,37037.38,151.179,50,0,0,50.649,23309.02,21.3162,21.91886,3.742,1.007,1000,
0.91,0,10,151.039,37254.47,152.039,50,0,0,50.52,23652.96,23.18707,20.66869,4.354,1.092,1000,
0.92,0,10,151.7,37417.33,152.7,50,0,0,50.459,23807.24,22.14598,20.665,3.825,1.008,1000,
0.93,0,10,151.618,37398.4,152.618,50,0,0,50.383,23796.43,22.46515,20.86239,4.298,1.008,1000,
0.94,0,10,152.147,37529.92,153.147,50,0,0,50.222,24008.23,23.55375,20.75769,4.423,1.045,1000,
0.95,0,10,152.818,37694.07,153.818,50,0,0,50.097,24162.33,22.42454,20.51122,4.347,1.028,1000,
0.96,0,10,152.742,37676.3,153.742,50,0,0,50.128,24112.58,21.82778,21.24957,4.25,0.88,1000,
0.97,0,10,152.805,37690.68,153.805,50,0,0,49.923,24180.05,22.90403,21.23992,3.654,1.005,1000,
0.98,0,10,154.527,38113.6,155.527,50,0,0,49.772,24710.96,22.8655,20.90833,3.831,0.939,1000,
0.99,0,10,156.846,38686.32,157.846,50,0,0,49.738,25447.48,23.07928,22.35392,3.974,1.161,1000,
1,0,10,155.797,38426.29,156.797,50,0,0,49.834,25088.31,22.43904,21.84706,4.082,1.095,1000,
