Alpha,Beta,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Time,IterationNum,RobotID,Count,
0.4,0.6,0,10,312.7875,77844.15,313.7875,50,0,0,0.04,40.25894,1.99625,0.48875,800,
0.4,0.7,0,10,316.14,78676.97,317.14,50,0,0,0.04,39.80616,1.7775,0.47375,800,
0.4,0.8,0,10,317.1363,78923.27,318.1363,50,0,0,0.04,38.9111,1.47,0.4225,800,
0.4,0.9,0,10,321.2687,79950.53,322.2687,50,0,0,0.04,40.21312,1.9675,0.3625,800,
0.4,1,0,10,319.0038,79384.38,320.0038,50,0,0,0.04,39.20331,1.93,0.39125,800,
0.5,0,0,10,317.6088,79057.41,318.6088,50,0,0,0.04,40.21032,1.98625,0.45375,800,
0.5,0.1,0,10,319.2888,79474.52,320.2888,50,0,0,0.04,40.95157,1.57625,0.5125,800,
0.5,0.2,0,10,317.6225,79058.73,318.6225,50,0,0,0.04,40.82464,2.48375,0.52125,800,
0.5,0.3,0,10,317.74,79085.6,318.74,50,0,0,0.04,40.35367,1.80375,0.54375,800,
0.5,0.4,0,10,315.8337,78608.86,316.8337,50,0,0,0.04,39.81241,1.97375,0.62,800,
0.5,0.5,0,10,313.6212,78053.75,314.6212,50,0,0,0.04,38.87012,2.015,0.3875,800,
0.5,0.6,0,10,314.7563,78333.89,315.7563,50,0,0,0.04,40.40321,2.50875,0.47875,800,
0.5,0.7,0,10,316.235,78701.6,317.235,50,0,0,0.04,40.28903,1.94375,0.51625,800,
0.5,0.8,0,10,316.435,78748.53,317.435,50,0,0,0.04,39.39841,1.69875,0.48375,800,
0.5,0.9,0,10,314.3925,78236.95,315.3925,50,0,0,0.04,39.9179,2.23625,0.5875,800,
0.5,1,0,10,320.2588,79697.22,321.2588,50,0,0,0.04,39.90839,1.8825,0.54625,800,
0.6,0,0,10,319.2125,79456.86,320.2125,50,0,0,0.04,40.38903,1.51125,0.4,800,
0.6,0.1,0,10,313.17,77948.91,314.17,50,0,0,0.04,39.8836,2.3025,0.59375,800,
0.6,0.2,0,10,317.2588,78967.63,318.2588,50,0,0,0.04,40.70801,2.11375,0.53375,800,
0.6,0.3,0,10,315.6575,78567.2,316.6575,50,0,0,0.04,41.43541,2.06125,0.615,800,
0.6,0.4,0,10,316.2638,78717.52,317.2638,50,0,0,0.04,40.0794,1.26375,0.6325,800,
0.6,0.5,0,10,316.1162,78676.44,317.1162,50,0,0,0.04,39.30391,1.89125,0.4975,800,
0.6,0.6,0,10,314.1075,78172.97,315.1075,50,0,0,0.04,38.56334,1.2175,0.4925,800,
0.6,0.7,0,10,316.765,78832.66,317.765,50,0,0,0.04,39.60359,2.22125,0.4575,800,
0.6,0.8,0,10,313.7425,78077.98,314.7425,50,0,0,0.04,39.24242,2.09875,0.60125,800,
0.6,0.9,0,10,316.4125,78741.02,317.4125,50,0,0,0.04,39.56162,1.83625,0.515,800,
0.6,1,0,10,320.21,79684.27,321.21,50,0,0,0.04,39.67653,2.515,0.48125,800,
0.7,0,0,10,318.5013,79280.49,319.5013,50,0,0,0.04,40.39083,1.7625,0.6425,800,
0.7,0.1,0,10,317.43,79010.91,318.43,50,0,0,0.04,41.38865,1.9975,0.52875,800,
0.7,0.2,0,10,317.08,78923.73,318.08,50,0,0,0.04,40.4654,1.495,0.45,800,
0.7,0.3,0,10,317.4287,79007.42,318.4287,50,0,0,0.04,39.96591,1.50125,0.47,800,
0.7,0.4,0,10,315.755,78589.05,316.755,50,0,0,0.04,39.46517,1.75875,0.52375,800,
0.7,0.5,0,10,314.4662,78265.35,315.4662,50,0,0,0.04,39.94992,2.09,0.45,800,
0.7,0.6,0,10,311.0562,77413.29,312.0562,50,0,0,0.04,39.24921,2.06875,0.41,800,
0.7,0.7,0,10,316.7525,78831.72,317.7525,50,0,0,0.04,39.63409,1.81125,0.6325,800,
0.7,0.8,0,10,315.85,78601.85,316.85,50,0,0,0.04,40.42535,1.6225,0.39375,800,
0.7,0.9,0,10,316.4675,78754.8,317.4675,50,0,0,0.04,39.50694,2.0175,0.54625,800,
0.7,1,0,10,318.9587,79372.06,319.9587,50,0,0,0.04,40.2366,2.1725,0.32625,800,
0.8,0,0,10,316.785,78851.62,317.785,50,0,0,0.04,41.02616,2.34,0.45375,800,
0.8,0.1,0,10,318.7712,79345.93,319.7712,50,0,0,0.04,40.58024,1.97375,0.47375,800,
0.8,0.2,0,10,317.2538,78966.88,318.2538,50,0,0,0.04,40.44013,2.0425,0.43625,800,
0.8,0.3,0,10,315.7575,78591.84,316.7575,50,0,0,0.04,39.90498,1.81125,0.5875,800,
0.8,0.4,0,10,314.8238,78355.47,315.8238,50,0,0,0.04,39.97551,2.46625,0.44875,800,
0.8,0.5,0,10,313.3125,77978.11,314.3125,50,0,0,0.04,39.90986,2.3225,0.7125,800,
0.8,0.6,0,10,313.1175,77926.04,314.1175,50,0,0,0.04,39.2647,1.97375,0.44375,800,
0.8,0.7,0,10,312.73,77827.02,313.73,50,0,0,0.04,39.2104,1.9725,0.47625,800,
0.8,0.8,0,10,316.0425,78650.94,317.0425,50,0,0,0.04,38.82712,1.6975,0.49125,800,
0.8,0.9,0,10,318.0038,79135.84,319.0038,50,0,0,0.04,39.65012,1.915,0.56625,800,
0.8,1,0,10,318.045,79145.99,319.045,50,0,0,0.04,39.67759,2.125,0.55375,800,
0.9,0,0,10,316.4388,78764.48,317.4388,50,0,0,0.04,40.46771,1.475,0.5975,800,
0.9,0.1,0,10,316.9763,78898.33,317.9763,50,0,0,0.04,40.91944,2.14625,0.42625,800,
0.9,0.2,0,10,315.5638,78545.02,316.5638,50,0,0,0.04,40.812,1.70125,0.63,800,
0.9,0.3,0,10,315.4975,78525.95,316.4975,50,0,0,0.04,40.30957,2.09125,0.29625,800,
0.9,0.4,0,10,315.1787,78444.59,316.1787,50,0,0,0.04,39.48352,1.65125,0.5175,800,
